data,petr4,abev3,retorno_diario_petr4,retorno_diario_abev3
2018-11-01,25.459047,15.629626,-0.010861658385528106,0.0018359740536861846
2018-11-05,26.241823,15.715554,0.03074647688108656,0.005497764309907227
2018-11-06,25.337904,15.887413,-0.03444573953570218,0.010935599215910585
2018-11-07,24.508526,15.61053,-0.03273269959504155,-0.017427821634648732
2018-11-08,23.623232,14.999476,-0.03612187856585081,-0.03914370620344099
2018-11-09,23.725742,15.352742,0.004339372360225635,0.023551889412670057
2018-11-12,23.604595,15.228621,-0.0051061416751476685,-0.008084614461703277
2018-11-13,22.588844,15.047215,-0.04303191814983476,-0.011912175107647638
2018-11-14,23.390265,15.305003,0.035478619445952875,0.017131941026960806
2018-11-16,24.042585,15.753747,0.027888525418587662,0.029320085726216583
2018-11-19,24.22896,15.715554,0.00775187027518065,-0.002424375610450058
2018-11-21,23.455498,15.639172,-0.03192303755505821,-0.004860280458455324
2018-11-22,23.530344,15.753747,0.003190978933809152,0.007326155118698052
2018-11-23,22.800577,15.467315,-0.03101386873052081,-0.018181833185463847
2018-11-26,22.688305,15.419576,-0.004924085912387244,-0.003086443897987512
2018-11-27,23.885872,15.791938,0.052783449446752284,0.02414865363353713
2018-11-28,23.745529,15.935153,-0.0058755652713871065,0.009068867924886703
2018-11-29,23.549059,15.887413,-0.008273978650886304,-0.0029958921636961122
2018-11-30,23.820381,16.154751,0.011521564407308116,0.01682703156265908
2018-12-03,24.26947,15.982891,0.018853140930029433,-0.010638356481012967
2018-12-04,23.708111,15.896962,-0.023130253771508014,-0.005376311457044869
2018-12-05,23.913942,15.791938,0.008681881065935704,-0.006606545326081847
2018-12-06,23.006409,15.648721,-0.0379499540477265,-0.009068994571787226
2018-12-07,23.174818,15.381386,0.007320090675602575,-0.01708350477971976
2018-12-10,21.930471,15.171335,-0.05369392760711211,-0.013656181569073111
2018-12-11,21.790129,15.228621,-0.006399406560853138,0.0037759366594964927
2018-12-12,21.799484,15.228621,4.293228369598445e-4,0
2018-12-13,21.855625,15.581886,0.0025753361868565694,0.023197438559932726
2018-12-14,21.565582,15.333646,-0.013270862764162561,-0.015931319225413465
2018-12-17,21.397179,15.371838,-0.007808878053928603,0.0024907318194251626
2018-12-18,20.583208,15.161787,-0.03804104270006814,-0.013664663913319886
2018-12-19,20.817106,15.005881,0.011363534780389983,-0.010282824841161498
2018-12-20,20.106049,14.820745,-0.03415734156323169,-0.012337562852857475
2018-12-21,20.162184,14.781768,0.0027919458467449143,-0.0026298947859909605
2018-12-26,20.981472,14.752536,0.04063488360189549,-0.0019775712891719754
2018-12-27,20.971794,14.71356,-4.612641095915748e-4,-0.00264198643541691
2018-12-28,21.949251,14.986394,0.04660817286303698,0.018543031054347292
2019-01-02,23.284786,15.736688,0.060846495399774714,0.05006501230382687
2019-01-03,23.855778,15.912081,0.024522106408880084,0.011145483725673477
2019-01-04,23.923521,16.12645,0.0028396894035482845,0.013472090796923242
2019-01-07,24.300957,16.058243,0.015776774664565396,-0.004229511144734133
2019-01-08,24.155787,15.736688,-0.005973838808076559,-0.020024295310514417
2019-01-09,24.659035,15.960801,0.020833434240830062,0.014241433775645795
2019-01-10,24.446121,16.418774,-0.008634320037260057,0.02869361005127491
2019-01-11,24.184822,16.847513,-0.01068877144148972,0.026112729245192146
2019-01-14,24.049332,17.091116,-0.005602274021284992,0.014459285474360595
2019-01-15,24.029978,17.247021,-8.047624773943607e-4,0.009121990629517684
2019-01-16,24.020298,17.34446,-4.0283016488817935e-4,0.005649613344820725
2019-01-17,24.349348,17.393181,0.013698830880449542,0.0028090237459106326
2019-01-18,24.58161,17.539343,0.009538735903729334,0.00840340820922858
2019-01-21,24.707422,17.539343,0.005118135061129125,0
2019-01-22,24.320309,17.091116,-0.015667883116255443,-0.025555518242616038
2019-01-23,24.610645,16.740328,0.01193800621529939,-0.02052458130879209
2019-01-24,24.7171,16.72084,0.00432556724945643,-0.0011641348962817544
2019-01-28,23.971912,17.490623,-0.030148682491068945,0.0460373402293186
2019-01-29,24.55258,17.41267,0.024222848807387454,-0.004456845247879482
2019-01-30,24.794523,17.510109,0.009854076435144687,0.005595867836466262
2019-01-31,24.755814,17.061882,-0.0015611915583131353,-0.025598184454477035
2019-02-01,24.968725,17.646528,0.008600444323906942,0.03426620814749515
2019-02-04,25.191313,17.977827,0.008914672254991096,0.018774174727175907
2019-02-05,25.239702,18.162962,0.0019208605760248076,0.01029796315205389
2019-02-06,24.668713,17.627039,-0.022622652200885773,-0.02950636575686283
2019-02-07,24.281601,18.270149,-0.015692427894394068,0.036484289845844176
2019-02-08,24.320309,17.753712,0.0015941288220657768,-0.028266709811726187
2019-02-11,24.039656,18.231171,-0.011539861602909762,0.026893474446358034
2019-02-12,24.891302,18.192196,0.03542671326078861,-0.002137822085043317
2019-02-13,25.210669,17.919361,0.012830465839030802,-0.014997364804117175
2019-02-14,26.081671,18.114243,0.03454894433781197,0.010875499410944345
2019-02-15,25.975216,18.016802,-0.0040816019801799275,-0.005379247700276535
2019-02-18,25.897791,17.72448,-0.002980725935060491,-0.016224966006730734
2019-02-19,26.497816,17.851152,0.02316896448812944,0.007146725884200844
2019-02-20,26.16877,17.685503,-0.012417853607255891,-0.009279457146519121
2019-02-21,26.51717,17.851152,0.013313579507175932,0.00936637199405621
2019-02-22,26.255873,17.851152,-0.009853879580664082,0
2019-02-25,25.839725,17.919361,-0.015849711034175096,0.0038209858949158626
2019-02-26,25.723595,18.016802,-0.004494242876036836,0.005437749705472283
2019-02-27,26.207481,17.890129,0.018810978792038968,-0.00703082600341598
2019-02-28,26.188128,16.789047,-7.384532683626377e-4,-0.06154690108718619
2019-03-01,25.839725,16.331078,-0.013303852799253058,-0.02727784370369557
2019-03-06,NA,NA,NA,NA
2019-03-07,25.907471,16.262869,NA,NA
2019-03-08,25.81069,16.165428,-0.003735640580278976,-0.005991624233091963
2019-03-11,26.855896,16.672119,0.04049508168902105,0.031344112880896224
2019-03-12,26.613947,16.564934,-0.009009157616636676,-0.006428996817980814
2019-03-13,27.19462,16.467493,0.021818372149009058,-0.005882365725091376
2019-03-14,27.281719,16.233635,0.0032028026131638576,-0.014201190187237422
2019-03-15,27.339785,16.331078,0.002128384945244921,0.006002537324511836
2019-03-18,27.813999,16.867001,0.017345198581481203,0.032816143551576804
2019-03-19,28.259174,16.750072,0.016005429496132706,-0.006932411991912413
2019-03-20,28.036585,16.564934,-0.007876698731534182,-0.011052967414110104
2019-03-21,27.639797,16.545446,-0.014152508231655037,-0.0011764610713210777
2019-03-22,26.13006,16.292099,-0.054621855580198386,-0.015312189227174589
2019-03-25,26.459105,16.097219,0.012592584938572626,-0.011961626307328554
2019-03-26,27.707539,16.555191,0.04718353096221506,0.02845038015572765
2019-03-27,26.459105,16.116707,-0.04505755635677344,-0.026486193967801386
2019-03-28,27.155905,16.321333,0.026334979962474137,0.01269651424450391
2019-03-29,27.155905,16.399284,0,0.004776019213626803
2019-04-01,27.097839,16.389542,-0.0021382458069433286,-5.940503256119944e-4
2019-04-02,27.378498,16.34082,0.010357246568628575,-0.00297274933003
2019-04-03,26.652662,16.409029,-0.026511169458602213,0.004174147931376826
2019-04-04,27.552694,16.876745,0.03376893460022856,0.028503575683850535
2019-04-05,27.852707,16.993675,0.010888699304685057,0.00692846873019648
2019-04-08,28.307562,16.905977,0.016330728643359604,-0.005160625938768426
2019-04-09,28.220467,17.237276,-0.003076739706513787,0.019596560435401145
2019-04-10,27.852707,17.100859,-0.013031676619667532,-0.007914069485224995
2019-04-11,27.097839,16.808537,-0.027102141274813918,-0.01709399510281906
2019-04-12,24.997759,16.623398,-0.07749990691139619,-0.01101458145940959
2019-04-15,25.094536,16.974186,0.0038714270347195434,0.02110206348906507
2019-04-16,25.859081,17.081371,0.030466592408801674,0.006314588516939779
2019-04-17,25.888115,16.613655,0.001122777719749557,-0.027381642843539833
2019-04-18,26.71073,16.642887,0.031775778190107795,0.0017595164941128782
2019-04-22,26.555882,17.052139,-0.005797220817252091,0.024590204812422245
2019-04-23,26.788151,17.217789,0.008746423861952568,0.009714323815915415
2019-04-24,26.71073,17.266508,-0.0028901210837581903,0.0028295735300276625
2019-04-25,26.904285,17.841408,0.007246338830874333,0.033295672755602856
2019-04-26,26.390511,17.821922,-0.019096363274474726,-0.0010921783751596248
2019-04-29,26.506727,17.880386,0.004403704043472345,0.003280454263013821
2019-04-30,26.254927,17.997313,-0.009499475359594722,0.006539400212053348
2019-05-02,25.886911,17.490623,-0.014017026213784423,-0.028153647158328576
2019-05-03,26.003128,17.46139,0.004489411656724895,-0.0016713527013874074
2019-05-06,25.925652,17.597807,-0.0029794876985569374,0.007812493736180093
2019-05-07,25.5189,17.198299,-0.015689171481588993,-0.02270214692092032
2019-05-08,26.506727,17.46139,0.03870962306369008,0.015297501223813015
2019-05-09,25.983759,17.042395,-0.019729633160669113,-0.02399551238475306
2019-05-10,25.83849,16.857256,-0.005590761521456544,-0.010863437914682694
2019-05-13,25.083092,16.574678,-0.029235377144717023,-0.016762989184004873
2019-05-14,25.179937,16.50647,0.0038609673799385735,-0.004115193067400713
2019-05-15,25.063719,16.184916,-0.004615500030837993,-0.01948048250170986
2019-05-16,24.472963,16.214148,-0.023570165305475954,0.0018061261485695645
2019-05-17,23.901573,16.067986,-0.02334780631180622,-0.009014473039224757
2019-05-20,24.715078,16.067986,0.03403562602344201,0
2019-05-21,25.654482,16.652632,0.038009347977781216,0.03638576732640919
2019-05-22,25.55727,16.76956,-0.0037892793937528424,0.0070215927428167735
2019-05-23,25.11981,16.76956,-0.01711685168251531,0
2019-05-24,25.362844,16.623398,0.00967499356085888,-0.008715911449077796
2019-05-27,25.508661,16.779305,0.005749236954657011,0.009378768408240035
